age,religion,community,income,gender,segment,scheme,link
35,christian,mbc,1444000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
33,hindu,bc,846000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
48,hindu,mbc,711000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
26,others,mbc,1984000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
51,others,mbc,919000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
55,muslim,mbc,1675000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
37,hindu,bc,601000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
59,christian,bc,1194000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
42,hindu,bc,746000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
52,others,mbc,837000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
49,christian,bc,1657000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
60,hindu,bc,1659000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
45,muslim,bc,797000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
27,christian,bc,925000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
36,christian,mbc,939000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
41,hindu,bc,1317000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
58,muslim,bc,1821000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
46,christian,bc,1698000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
46,christian,mbc,720000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
46,hindu,bc,1236000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
50,christian,mbc,1164000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
52,christian,mbc,1318000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
